Year	Month	Day	Hour	Minute	Second	Catalog	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-12836	12	18	10	31	00	0	T	—	—	3S	156E
-12835	6	12	00	-49	-58	0	T	—	—	7N	150E
-12835	11	08	16	04	39	0	Pen	—	—	16S	168W
-12835	12	08	02	20	24	0	Pen	—	—	8S	11E
-12834	6	02	-19	-44	-15	0	Pen	—	—	12N	146W
-12834	10	28	-1	-48	-43	0	P	—	—	20S	89W
-12833	4	23	-16	-18	-11	0	P	—	—	22N	125W
-12833	10	17	-1	-40	-30	0	T	—	—	23S	100W
-12832	4	12	-23	-38	-41	0	T	—	—	24N	104E
-12832	10	05	00	-32	-58	0	P	—	—	25S	96W
-12831	4	01	-10	-9	-50	0	P	—	—	25N	56W
-12831	8	26	-4	-45	-41	0	Pen	—	—	19S	164E
-12831	9	25	-16	-43	-40	0	Pen	—	—	26S	13E
-12830	2	20	06	26	12	0	Pen	—	—	18N	144E
-12830	3	21	-3	-26	-12	0	Pen	—	—	26N	38E
-12830	8	16	-13	-33	-35	0	P	—	—	17S	18E
-12829	2	09	07	10	42	0	P	—	—	16N	148E
-12829	8	06	-22	-52	-45	0	T	—	—	14S	127W
-12828	1	29	12	21	44	0	T	—	—	13N	148W
-12828	7	25	-13	-14	00	0	P	—	—	11S	12E
-12827	1	18	00	42	46	0	P	—	—	10N	36E
-12827	7	14	-10	-52	-45	0	Pen	—	—	7S	31E
-12827	12	09	10	36	28	0	P	—	—	7S	147E
-12826	6	03	-5	-27	-27	0	Pen	—	—	11N	81E
-12826	11	29	01	10	50	0	T	—	—	11S	13W
-12825	5	24	-22	-3	-56	0	T	—	—	15N	175E
-12825	11	18	09	13	23	0	P	—	—	14S	96E
-12824	5	12	-8	-6	-51	0	T	—	—	18N	15E
-12824	11	06	10	30	51	0	Pen	—	—	17S	115E
-12823	4	02	00	-4	-19	0	Pen	—	—	26N	95E
-12823	5	02	-15	-39	-1	0	Pen	—	—	20N	116W
-12823	9	26	-4	-23	-39	0	P	—	—	25S	150W
-12822	3	23	-12	-9	-56	0	P	—	—	25N	95W
-12822	9	16	-18	-37	00	0	T	—	—	24S	26W
-12821	3	12	-7	-21	-30	0	T	—	—	23N	31W
-12821	9	05	-3	-50	-24	0	P	—	—	22S	172W
-12820	2	29	-6	-44	-3	0	P	—	—	21N	42W
-12820	8	25	-12	-32	-41	0	Pen	—	—	19S	43E
