Year	Month	Day	Hour	Minute	Second	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-12867	3	11	00	02	26	P	—	—	24N	68E
-12867	8	05	02	01	32	Pen	—	—	13S	146W
-12867	9	03	14	48	11	Pen	—	—	24S	116W
-12866	1	29	18	30	31	Pen	—	—	12N	30E
-12866	2	28	07	58	48	Pen	—	—	22N	57E
-12866	7	25	16	56	47	P	—	—	10S	156W
-12865	1	18	19	11	59	P	—	—	8N	19E
-12865	7	15	07	56	55	T	—	—	6S	167W
-12864	1	07	23	23	25	T	—	—	5N	9E
-12864	7	03	18	25	20	P	—	—	2S	177W
-12864	11	28	02	48	02	Pen	—	—	12S	25W
-12864	12	27	10	44	06	Pen	—	—	1N	0W
-12863	6	22	21	41	28	Pen	—	—	2N	172E
-12863	11	17	19	33	18	P	—	—	15S	35W
-12862	5	13	03	49	23	Pen	—	—	19N	134E
-12862	11	07	10	23	57	T	—	—	18S	46W
-12861	5	02	10	37	03	T	—	—	21N	123E
-12861	10	27	19	03	47	P	—	—	20S	57W
-12860	4	21	00	18	17	T	—	—	23N	111E
-12860	10	15	20	36	40	Pen	—	—	22S	69W
-12859	3	12	09	32	32	Pen	—	—	25N	70E
-12859	4	10	17	03	15	Pen	—	—	23N	100E
-12859	9	05	03	46	13	P	—	—	24S	114W
-12858	3	01	22	30	00	P	—	—	22N	58E
-12858	8	25	12	31	40	T	—	—	21S	125W
-12857	2	19	04	25	32	T	—	—	19N	48E
-12857	8	15	02	47	45	P	—	—	17S	136W
-12856	2	08	05	19	32	P	—	—	15N	37E
-12856	8	03	18	09	21	Pen	—	—	13S	147W
-12856	12	28	21	20	00	Pen	—	—	2N	1E
-12855	6	24	14	37	49	P	—	—	1N	174E
-12855	12	18	10	22	22	T	—	—	3S	8W
-12854	6	13	16	10	50	T	—	—	7N	164E
-12854	12	08	03	08	47	T	—	—	8S	17W
-12853	6	02	15	40	36	T	—	—	12N	154E
-12853	10	29	08	33	30	Pen	—	—	19S	55W
-12853	11	27	19	01	46	Pen	—	—	13S	27W
-12852	5	21	20	30	28	Pen	—	—	16N	143E
-12852	10	17	14	57	41	P	—	—	22S	67W
-12851	4	12	00	05	02	P	—	—	23N	102E
-12851	10	06	15	08	21	T	—	—	24S	79W
-12850	4	01	16	56	29	T	—	—	24N	91E
-12850	9	25	15	49	32	P	—	—	25S	91W
-12849	3	22	06	53	42	P	—	—	25N	79E
-12849	8	16	10	39	04	Pen	—	—	17S	134W
-12849	9	14	23	05	08	Pen	—	—	25S	104W
-12848	2	10	00	27	12	Pen	—	—	15N	39E
-12848	3	10	14	13	46	Pen	—	—	24N	68E
-12848	8	05	01	41	48	P	—	—	14S	145W
-12847	1	29	01	10	59	P	—	—	12N	29E
-12847	7	25	16	31	26	T	—	—	11S	156W
-12846	1	18	05	52	48	T	—	—	9N	19E
-12846	7	15	02	34	39	P	—	—	7S	167W
-12845	1	07	17	44	18	P	—	—	6N	9E
-12845	7	04	05	21	24	Pen	—	—	3S	178W
-12845	11	29	03	09	04	P	—	—	12S	25W
-12844	5	23	11	05	08	Pen	—	—	16N	145E
-12844	11	17	17	52	48	T	—	—	15S	35W
-12843	5	12	18	10	56	T	—	—	18N	134E
-12843	11	07	02	15	21	P	—	—	18S	46W
-12842	5	02	08	00	40	T	—	—	20N	123E
-12842	10	27	03	39	27	Pen	—	—	20S	58W
-12841	3	23	16	41	39	Pen	—	—	26N	81E
-12841	4	22	00	38	18	Pen	—	—	22N	112E
-12841	9	16	11	43	35	P	—	—	25S	102W
-12840	3	12	05	08	26	P	—	—	24N	70E
-12840	9	04	20	58	42	T	—	—	23S	114W
-12839	3	01	10	31	26	T	—	—	21N	59E
-12839	8	25	11	29	45	P	—	—	20S	126W
-12838	2	18	11	16	13	P	—	—	18N	48E
-12838	8	15	02	49	55	Pen	—	—	17S	136W
-12837	1	09	04	00	11	Pen	—	—	6N	10E
-12837	2	07	14	38	06	Pen	—	—	14N	38E
-12837	7	05	22	34	53	P	—	—	3S	176W
-12837	12	29	17	31	37	T	—	—	1N	2E
-12836	6	23	23	41	42	T	—	—	2N	174E
-12836	12	18	10	31	00	T	—	—	3S	7W
-12835	6	12	23	10	01	T	—	—	7N	164E
-12835	11	08	16	04	39	Pen	—	—	16S	45W
-12835	12	08	02	20	24	Pen	—	—	8S	17W
-12834	6	02	04	15	44	Pen	—	—	12N	153E
-12834	10	28	22	11	16	P	—	—	20S	56W
-12833	4	23	07	41	48	P	—	—	22N	114E
-12833	10	17	22	19	29	T	—	—	23S	67W
-12832	4	12	00	21	18	T	—	—	24N	102E
-12832	10	05	23	27	01	P	—	—	25S	80W
-12831	4	01	13	50	09	P	—	—	25N	91E
-12831	8	26	19	14	18	Pen	—	—	19S	123W
-12831	9	25	07	16	19	Pen	—	—	26S	92W
-12830	2	20	06	26	12	Pen	—	—	18N	50E
-12830	3	21	20	33	47	Pen	—	—	26N	79E
-12830	8	16	10	26	24	P	—	—	17S	135W
-12829	2	09	07	10	42	P	—	—	16N	39E
-12829	8	06	01	07	14	T	—	—	14S	146W
-12828	1	29	12	21	44	T	—	—	13N	28E
-12828	7	25	10	45	59	P	—	—	11S	156W
-12827	1	18	00	42	46	P	—	—	10N	19E
-12827	7	14	13	07	14	Pen	—	—	7S	168W
-12827	12	09	10	36	28	P	—	—	7S	15W
-12826	6	03	18	32	32	Pen	—	—	11N	156E
-12826	11	29	01	10	50	T	—	—	11S	25W
-12825	5	24	01	56	03	T	—	—	15N	145E
-12825	11	18	09	13	23	P	—	—	14S	36W
-12824	5	12	15	53	08	T	—	—	18N	134E
-12824	11	06	10	30	51	Pen	—	—	17S	47W
-12823	4	02	23	55	40	Pen	—	—	26N	93E
-12823	5	02	08	20	58	Pen	—	—	20N	123E
-12823	9	26	19	36	20	P	—	—	25S	89W
-12822	3	23	11	50	03	P	—	—	25N	81E
-12822	9	16	05	22	59	T	—	—	24S	102W
-12821	3	12	16	38	29	T	—	—	23N	70E
-12821	9	05	20	09	35	P	—	—	22S	113W
-12820	2	29	17	15	56	P	—	—	21N	58E
-12820	8	25	11	27	18	Pen	—	—	19S	125W
-12819	1	19	10	40	39	Pen	—	—	11N	20E
-12819	2	17	21	01	26	Pen	—	—	17N	48E
-12819	7	16	06	35	25	P	—	—	8S	165W
-12818	1	09	00	39	10	T	—	—	6N	11E
-12818	7	05	07	18	28	T	—	—	2S	176W
-12818	12	29	17	47	54	T	—	—	1N	2E
-12817	6	24	06	49	14	T	—	—	3N	174E
-12817	12	19	09	28	22	Pen	—	—	4S	7W
-12816	6	12	12	12	57	Pen	—	—	8N	164E
-12816	11	08	05	11	11	P	—	—	17S	45W
-12815	5	03	15	28	39	P	—	—	19N	124E
-12815	10	28	05	20	15	T	—	—	20S	56W
-12814	4	23	07	53	54	T	—	—	22N	114E
-12814	10	17	06	56	26	P	—	—	23S	67W
-12813	4	12	20	51	04	P	—	—	24N	103E
-12813	9	07	03	47	22	Pen	—	—	22S	111W
-12813	10	06	15	20	52	Pen	—	—	25S	80W
-12812	3	02	12	25	12	Pen	—	—	20N	60E
-12812	4	01	02	57	59	Pen	—	—	26N	91E
-12812	8	26	19	09	07	P	—	—	20S	123W
-12811	2	19	13	12	43	P	—	—	19N	49E
-12811	8	16	09	43	03	T	—	—	18S	134W
-12810	2	08	18	51	59	T	—	—	16N	39E
-12810	8	05	18	58	27	P	—	—	15S	146W
-12809	1	29	07	40	13	P	—	—	13N	29E
-12809	7	25	20	56	24	Pen	—	—	12S	157W
-12809	12	20	17	55	49	P	—	—	3S	6W
-12808	1	19	00	37	35	Pen	—	—	10N	19E
-12808	6	14	02	10	36	Pen	—	—	7N	166E
-12808	12	09	08	19	58	T	—	—	7S	16W
-12807	6	03	09	51	15	T	—	—	11N	155E
-12807	11	28	16	01	46	P	—	—	10S	26W
-12806	5	23	23	55	23	T	—	—	14N	145E
-12806	11	17	17	11	45	Pen	—	—	14S	36W
-12805	5	13	16	12	25	Pen	—	—	17N	134E
-12805	10	08	03	21	18	P	—	—	25S	78W
